spot_name,hand,fold_freq,call_freq,raise_freq,best_action,ev
btn-open-vs-bb-defend-srp-01-hero_betting,9s6s,0,0.9453583,0.054641724,call,0.17747547
btn-open-vs-bb-defend-srp-01-hero_betting,Ts6s,0,0.806491,0.19350901,call,0.24368905
btn-open-vs-bb-defend-srp-01-hero_betting,Js6s,0,0.8303706,0.16962937,call,0.26049381
btn-open-vs-bb-defend-srp-01-hero_betting,Qs6s,0,0.7242542,0.2757458,call,0.32367814
btn-open-vs-bb-defend-srp-01-hero_betting,Kc6s,0,0.78822005,0.21177997,call,1.9205381
btn-open-vs-bb-defend-srp-01-hero_betting,Kh6s,0,0.7996033,0.20039673,call,1.9065938
btn-open-vs-bb-defend-srp-01-hero_betting,Ks6s,0,0.8626688,0.1373312,call,3.0270824
btn-open-vs-bb-defend-srp-01-hero_betting,Ac6s,0,0.9954681,0.004531929,call,4.487067
btn-open-vs-bb-defend-srp-01-hero_betting,Ad6s,0,0.9951324,0.004867628,call,4.4818163
btn-open-vs-bb-defend-srp-01-hero_betting,Ah6s,0,0.9951781,0.004821925,call,4.440695
btn-open-vs-bb-defend-srp-01-hero_betting,7d7c,0,0.71725035,0.28274968,call,0.73846287
btn-open-vs-bb-defend-srp-01-hero_betting,7h7c,0,0.75971985,0.24028015,call,0.7059019
btn-open-vs-bb-defend-srp-01-hero_betting,7s7c,0,0.7103838,0.28961623,call,0.75024456
btn-open-vs-bb-defend-srp-01-hero_betting,8c7c,0,0.9703055,0.02969451,call,0.16316614
btn-open-vs-bb-defend-srp-01-hero_betting,8d7c,0,0.9999542,4.57764E-05,call,0.072580785
btn-open-vs-bb-defend-srp-01-hero_betting,8h7c,0,0.9999542,4.57757E-05,call,0.06872042
btn-open-vs-bb-defend-srp-01-hero_betting,8s7c,0,0.9999542,4.57764E-05,call,0.07313206
btn-open-vs-bb-defend-srp-01-hero_betting,9c7c,0,0.97851527,0.021484703,call,0.16354503
btn-open-vs-bb-defend-srp-01-hero_betting,Tc7c,0,0.8390326,0.16096742,call,0.21852718
btn-open-vs-bb-defend-srp-01-hero_betting,Jc7c,0,0.86775005,0.13224994,call,0.2322781
btn-open-vs-bb-defend-srp-01-hero_betting,Qc7c,0,0.761875,0.23812503,call,0.28434867
btn-open-vs-bb-defend-srp-01-hero_betting,Kc7c,0,0.99208057,0.007919433,call,2.844302
btn-open-vs-bb-defend-srp-01-hero_betting,Kh7c,0,0.85058135,0.14941862,call,1.943497
btn-open-vs-bb-defend-srp-01-hero_betting,Ks7c,0,0.83955383,0.16044617,call,1.9642837
btn-open-vs-bb-defend-srp-01-hero_betting,Ac7c,0,0.8342718,0.16572824,call,5.4640536
btn-open-vs-bb-defend-srp-01-hero_betting,Ad7c,0,0.99035645,0.009643555,call,4.7088957
btn-open-vs-bb-defend-srp-01-hero_betting,Ah7c,0,0.9901886,0.009811401,call,4.6660256
btn-open-vs-bb-defend-srp-01-hero_betting,7h7d,0,0.7582971,0.24170291,call,0.6984583
btn-open-vs-bb-defend-srp-01-hero_betting,7s7d,0,0.7187152,0.2812848,call,0.7367789
btn-open-vs-bb-defend-srp-01-hero_betting,8c7d,0,0.9999542,4.57757E-05,call,0.07114746
btn-open-vs-bb-defend-srp-01-hero_betting,8d7d,0,0.9221637,0.07783627,call,0.17837119
btn-open-vs-bb-defend-srp-01-hero_betting,8h7d,0,0.9999542,4.57757E-05,call,0.06784522
btn-open-vs-bb-defend-srp-01-hero_betting,8s7d,0,0.9999542,4.57764E-05,call,0.0722478
btn-open-vs-bb-defend-srp-01-hero_betting,9d7d,0,0.9329061,0.067093916,call,0.17935209
btn-open-vs-bb-defend-srp-01-hero_betting,Td7d,0,0.80482185,0.19517815,call,0.24252921
btn-open-vs-bb-defend-srp-01-hero_betting,Jd7d,0,0.8311157,0.16888428,call,0.2629237
btn-open-vs-bb-defend-srp-01-hero_betting,Qd7d,0,0.7393381,0.26066193,call,0.35001293
btn-open-vs-bb-defend-srp-01-hero_betting,Kc7d,0,0.8490143,0.15098572,call,1.961613
btn-open-vs-bb-defend-srp-01-hero_betting,Kh7d,0,0.8599374,0.14006257,call,1.9475447
btn-open-vs-bb-defend-srp-01-hero_betting,Ks7d,0,0.84880066,0.15119934,call,1.9674547
btn-open-vs-bb-defend-srp-01-hero_betting,Ac7d,0,0.98905927,0.010940719,call,4.7223206
btn-open-vs-bb-defend-srp-01-hero_betting,Ad7d,0,0.9324625,0.067537464,call,5.584524
btn-open-vs-bb-defend-srp-01-hero_betting,Ah7d,0,0.9878538,0.012146181,call,4.671757
btn-open-vs-bb-defend-srp-01-hero_betting,7s7h,0,0.7624933,0.23750667,call,0.70330584
btn-open-vs-bb-defend-srp-01-hero_betting,8c7h,0,0.9999542,4.57757E-05,call,0.06872046
btn-open-vs-bb-defend-srp-01-hero_betting,8d7h,0,0.9999542,4.57757E-05,call,0.06927139
btn-open-vs-bb-defend-srp-01-hero_betting,8h7h,0,0.9999542,4.57757E-05,call,0.06619463
btn-open-vs-bb-defend-srp-01-hero_betting,8s7h,0,0.9999542,4.57757E-05,call,0.06982294
btn-open-vs-bb-defend-srp-01-hero_betting,9h7h,0,0.9999542,4.57764E-05,call,0.06992552
btn-open-vs-bb-defend-srp-01-hero_betting,Th7h,0,0.9964905,0.003509522,call,0.117340975
btn-open-vs-bb-defend-srp-01-hero_betting,Jh7h,0,0.9933777,0.006622315,call,0.11897468
btn-open-vs-bb-defend-srp-01-hero_betting,Qh7h,0,0.91094834,0.08905165,call,0.13158914
btn-open-vs-bb-defend-srp-01-hero_betting,Kc7h,0,0.8540802,0.1459198,call,1.9250906
btn-open-vs-bb-defend-srp-01-hero_betting,Kh7h,0,0.86471146,0.13528855,call,1.9116565
btn-open-vs-bb-defend-srp-01-hero_betting,Ks7h,0,0.8521553,0.14784466,call,1.929726
btn-open-vs-bb-defend-srp-01-hero_betting,Ac7h,0,0.9831083,0.016891737,call,4.650526
btn-open-vs-bb-defend-srp-01-hero_betting,Ad7h,0,0.9805142,0.019485772,call,4.6421623
btn-open-vs-bb-defend-srp-01-hero_betting,Ah7h,0,0.97950745,0.020492554,call,4.5979204
btn-open-vs-bb-defend-srp-01-hero_betting,8c7s,0,0.9999542,4.57764E-05,call,0.07258092
btn-open-vs-bb-defend-srp-01-hero_betting,8d7s,0,0.9999542,4.57764E-05,call,0.07313219
btn-open-vs-bb-defend-srp-01-hero_betting,8h7s,0,0.9999542,4.57764E-05,call,0.0692716
btn-open-vs-bb-defend-srp-01-hero_betting,8s7s,0,0.92356753,0.07643244,call,0.1764465
btn-open-vs-bb-defend-srp-01-hero_betting,9s7s,0,0.92578125,0.07421875,call,0.17497346
btn-open-vs-bb-defend-srp-01-hero_betting,Ts7s,0,0.7959442,0.20405579,call,0.24175052
btn-open-vs-bb-defend-srp-01-hero_betting,Js7s,0,0.8201877,0.17981231,call,0.25801626
btn-open-vs-bb-defend-srp-01-hero_betting,Qs7s,0,0.7247883,0.27521172,call,0.32833472
btn-open-vs-bb-defend-srp-01-hero_betting,Kc7s,0,0.8370184,0.16298161,call,1.9549669
btn-open-vs-bb-defend-srp-01-hero_betting,Kh7s,0,0.8489861,0.15101393,call,1.941346
btn-open-vs-bb-defend-srp-01-hero_betting,Ks7s,0,0.99710083,0.00289917,call,3.0847301
btn-open-vs-bb-defend-srp-01-hero_betting,Ac7s,0,0.99098176,0.00901822,call,4.711366
btn-open-vs-bb-defend-srp-01-hero_betting,Ad7s,0,0.9902648,0.009735256,call,4.703631
btn-open-vs-bb-defend-srp-01-hero_betting,Ah7s,0,0.990051,0.009949034,call,4.66075
btn-open-vs-bb-defend-srp-01-hero_betting,8d8c,0,0.8523537,0.1476463,call,0.7941431
btn-open-vs-bb-defend-srp-01-hero_betting,8h8c,0,0.88749695,0.11250305,call,0.7773812
btn-open-vs-bb-defend-srp-01-hero_betting,8s8c,0,0.85898924,0.14101078,call,0.8029357
btn-open-vs-bb-defend-srp-01-hero_betting,9c8c,0,0.9940796,0.00592041,call,0.1488294
btn-open-vs-bb-defend-srp-01-hero_betting,9d8c,0,0.9999542,4.57764E-05,call,0.0619721
btn-open-vs-bb-defend-srp-01-hero_betting,9h8c,0,0.9999695,3.0518E-05,call,0.06028508
btn-open-vs-bb-defend-srp-01-hero_betting,9s8c,0,0.9999542,4.57764E-05,call,0.060840383
btn-open-vs-bb-defend-srp-01-hero_betting,Tc8c,0,0.9198126,0.08018738,call,0.19285594
btn-open-vs-bb-defend-srp-01-hero_betting,Td8c,0,0.99662787,0.003372141,call,0.10474797
